dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
0000_1527,Institute of Technology and Academics,43.18030598,-88.01475902,Private School,"8940 N 85th St, Milwaukee, WI 53224",1,
0000_1684,Jo's Learning Academy,43.06046199,-87.97442999,Private School,"4827 W North Ave, Milwaukee, WI 53208",1,
0000_1221,King's Academy Christian School Inc,43.15940902,-87.98415903,Private School,"7798 N 60th St, Milwaukee, WI 53223",1,
0000_1774,Kingdom Prep Lutheran High School,43.06487709,-88.00738342,Private School,"2520 N Wauwatosa Ave, Wauwatosa, WI 53213",1,TRUE
3619_1121,La Causa Charter School,43.01298999,-87.91291797,Public Charter School,"1643 S 2nd St, Milwaukee, WI 53204",1,TRUE
0000_1374,Malaika Early Learning Center,43.07607002,-87.91144996,Private School,"125 W Auer Ave, Milwaukee, WI 53212",1,
0000_1770,Marquette University High School,43.03816001,-87.955779,Private School,"3401 W Wisconsin Ave, Milwaukee, WI 53208",1,TRUE
0000_1606,Messmer High School,43.089859,-87.92038499,Private School,"742 W Capitol Dr, Milwaukee, WI 53206",1,TRUE
8008_8106,Milwaukee Academy of Science,43.04234401,-87.93946002,Public Charter School,"2000 W Kilbourn Ave, Milwaukee, WI 53233",1,TRUE
3619_0123,Milwaukee College Preparatory School -- 36th Street Campus,43.06329399,-87.95898399,Public Charter School,"2449 N 36th St, Milwaukee, WI 53210",1,TRUE
3619_0111,Milwaukee College Preparatory School -- 38th Street,43.06666699,-87.96162596,Public Charter School,"2623 N 38th St, Milwaukee, WI 53210",1,TRUE
3619_0145,Milwaukee College Preparatory School -- Lloyd Street,43.058435,-87.92777598,Public Charter School,"1228 W Lloyd St, Milwaukee, WI 53205",1,TRUE
3619_0121,Milwaukee College Preparatory School: Lola Rowe North Campus,43.06091202,-87.92947902,Public Charter School,"1350 W North Ave, Milwaukee, WI 53205",1,TRUE
3619_0118,Milwaukee Environmental Science Academy,43.08873302,-87.99485904,Public Charter School,"6600 W Melvina St, Milwaukee, WI 53216",1,
0000_1870,Milwaukee Lutheran High School,43.09637501,-88.03410302,Private School,"9700 W Grantosa Dr, Milwaukee, WI 53222",1,TRUE
8012_8128,Milwaukee Math and Science Academy,43.06846202,-87.96796796,Public Charter School,"2703 N Sherman Blvd, Milwaukee, WI 53210",1,
8013_8129,Milwaukee Scholars Charter School,43.127725,-87.99896298,Public Charter School,"7000 W Florist Ave, Milwaukee, WI 53218",1,
0000_1873,Milwaukee Seventh Day Adventist School,43.134778,-88.047805,Private School,"10900 W Mill Rd, Milwaukee, WI 53225",1,
0000_1910,Mother of Good Counsel School,43.07413899,-87.99781198,Private School,"3001 N 68th St, Milwaukee, WI 53210",1,
0000_1930,Mount Calvary Lutheran School,43.071155,-87.97940901,Private School,"2862 N 53rd St, Milwaukee, WI 53210",1,
0000_1980,Mount Lebanon Lutheran School,43.10520899,-87.98825602,Private School,"6100 W Hampton Ave, Milwaukee, WI 53218",1,
0000_1990,Mount Olive Christian Day School,43.05244399,-87.98052699,Private School,"5301 W Washington Blvd, Milwaukee, WI 53208",1,
0000_1996,Nativity Jesuit Academy,43.01558901,-87.95108396,Private School,"1515 S 29th St, Milwaukee, WI 53215",1,TRUE
0000_1327,New Testament Christian Academy,43.16202199,-88.03725202,Private School,"10201 W Bradley Rd, Milwaukee, WI 53224",1,
0000_1575,Northwest Catholic School,43.147499,-87.96267798,Private School,"7140 N 41st St, Milwaukee, WI 53209",1,TRUE
0000_2030,Northwest Lutheran School,43.09197501,-88.01439197,Private School,"4119 N 81st St, Milwaukee, WI 53222",1,TRUE
0000_1095,Notre Dame School of Milwaukee,43.01939699,-87.92980801,Private School,"1420 W Scott St, Milwaukee, WI 53204",1,TRUE
0000_1931,Notre Dame School of Milwaukee,43.01833601,-87.97040701,Private School,"1215 S 45th St, West Milwaukee, WI 53214",1,TRUE
0000_2240,Our Lady Queen of Peace,42.98629602,-87.95001602,Private School,"2733 W Euclid Ave, Milwaukee, WI 53215",1,TRUE
8017_8139,Pathways High,43.03933302,-87.95232599,Public Charter School,"3022 W Wisconsin Ave, Milwaukee, WI 53208",1,TRUE
0000_2291,Pilgrim Lutheran School,43.06781598,-87.99692702,Private School,"6717 W Center St, Wauwatosa, WI 53210",1,TRUE
0000_2300,Pius XI Catholic High School,43.03194701,-88.00853604,Private School,"135 N 76th St, Milwaukee, WI 53213",1,TRUE
0000_1205,Prince of Peace,43.01981898,-87.94461497,Private School,"1114 S 25th St, Milwaukee, WI 53204",1,TRUE
0000_1530,Right Step Inc,43.08428801,-87.96786696,Private School,"3725 N Sherman Blvd, Milwaukee, WI 53216",1,
0000_1351,Risen Savior Lutheran School,43.17863601,-88.02968199,Private School,"9550 W Brown Deer Rd, Milwaukee, WI 53224",1,
8002_8133,Rocketship Southside Community Prep,42.99555899,-87.95177597,Public Charter School,"3003 W Cleveland Ave, Milwaukee, WI 53215",1,TRUE
8002_8140,Rocketship Transformation Prep,43.11792702,-87.99665201,Public Charter School,"5501 N 68th St N, Milwaukee, WI 53218",1,TRUE
0000_2750,Saint Adalbert School,43.00629801,-87.93715399,Private School,"1913 W Becher St, Milwaukee, WI 53215",1,TRUE
0000_2800,Saint Agnes School,43.10750299,-88.07155102,Private School,"12801 W Fairmount Ave, Butler, WI 53007",1,
0000_3100,Saint Anthony School,43.01165002,-87.92306401,Private School,"1727 S 9th Street, Milwaukee, WI 53204",1,TRUE
0000_1745,Saint Augustine Preparatory Academy,42.99739001,-87.91736499,Private School,"2607 S 5th St, Milwaukee, WI 53207",1,TRUE
0000_3410,Saint Catherine School,43.06711001,-87.97800403,Private School,"2647 N 51st St, Milwaukee, WI 53210",1,TRUE
0000_3455,Saint Charles Borromeo Catholic School,42.94263699,-87.95456002,Private School,"3100 W Parnell Ave, Milwaukee, WI 53221",1,TRUE
0000_3935,Saint Gregory the Great Parish School,42.987493,-87.98958296,Private School,"3132 S 63rd St, Milwaukee, WI 53219",1,
0000_4210,Saint Joan Antida High School,43.04778101,-87.90297997,Private School,"1341 N Cass St, Milwaukee, WI 53202",1,TRUE
0000_2850,Saint John Paul II School,42.983502,-87.93341197,Private School,"3344 S 16th St, Milwaukee, WI 53215",1,
0000_4655,Saint John's Lutheran School,42.97182001,-87.99899601,Private School,"4001 S 68th St, Milwaukee, WI 53220",1,
0000_4950,Saint Josaphat Parish School,43.0026,-87.92161101,Private School,"801 W Lincoln Ave, Milwaukee, WI 53215",1,
0000_8224,Saint Joseph Academy,42.98915798,-87.93440397,Private School,"1600 W Oklahoma Ave, Milwaukee, WI 53215",1,TRUE
0000_5640,Saint Lucas Lutheran School,42.997682,-87.90106797,Private School,"648 E Dover St, Milwaukee, WI 53207",1,
0000_5710,Saint Marcus Lutheran School,43.059515,-87.91035302,Private School,"2215 N Palmer St, Milwaukee, WI 53212",1,TRUE
0000_5720,Saint Margaret Mary School,43.08877899,-88.02608104,Private School,"3950 N 92nd St, Milwaukee, WI 53222",1,TRUE
0000_5830,Saint Martini Lutheran School,43.01541999,-87.93261804,Private School,"1520 S Cesar E Chavez Dr, Milwaukee, WI 53204",1,
0000_1948,Saint Mary Czestochowa,43.073694,-87.901849,Private School,"3027 N Fratney St, Milwaukee, WI 53212",1,TRUE
0000_6690,Saint Matthias Parish School,42.986357,-88.02858698,Private School,"9300 W Beloit Rd, Milwaukee, WI 53227",1,
0000_7400,Saint Peter Immanuel Lutheran School,43.13680499,-88.00751596,Private School,"7801 W Acacia St, Milwaukee, WI 53223",1,TRUE
0000_1302,Saint Philip's Lutheran School,43.07335499,-87.90489196,Private School,"3012 N Holton St, Milwaukee, WI 53212",1,
0000_1200,Saint Rafael the Archangel School,43.00377099,-87.953708,Private School,"2251 S 31st St, Milwaukee, WI 53215",1,TRUE
