dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
0000_1656,Hope Christian School Semper,43.090315984138,-87.951762977965,Private School,"3040 W Capitol Dr, Milwaukee, WI 53216",1,
0000_1527,Institute of Technology and Academics,43.180305982558,-88.014759015299,Private School,"8940 N 85th St, Milwaukee, WI 53224",1,
0000_1684,Jo's Learning Academy,43.06046199196,-87.974429991084,Private School,"4827 W North Ave, Milwaukee, WI 53208",1,
0000_1221,King's Academy Christian School Inc,43.159409017842,-87.984159033738,Private School,"7798 N 60th St, Milwaukee, WI 53223",1,
0000_1774,Kingdom Prep Lutheran High School,43.064877088315,-88.007383422835,Private School,"2520 N Wauwatosa Ave, Wauwatosa, WI 53213",1,
3619_1121,La Causa Charter School,43.012989993679,-87.912917969708,Public Charter School,"1643 S 2nd St, Milwaukee, WI 53204",1,
0000_1374,Malaika Early Learning Center,43.076070017682,-87.911449963186,Private School,"125 W Auer Ave, Milwaukee, WI 53212",1,
0000_1770,Marquette University High School,43.038160010724,-87.955778999234,Private School,"3401 W Wisconsin Ave, Milwaukee, WI 53208",1,
0000_1606,Messmer High School,43.089859002777,-87.920384988152,Private School,"742 W Capitol Dr, Milwaukee, WI 53206",1,
8008_8106,Milwaukee Academy of Science,43.042344005332,-87.939460020484,Public Charter School,"2000 W Kilbourn Ave, Milwaukee, WI 53233",1,
3619_0123,Milwaukee College Preparatory School -- 36th Street Campus,43.063293985586,-87.958983987551,Public Charter School,"2449 N 36th St, Milwaukee, WI 53210",1,
3619_0111,Milwaukee College Preparatory School -- 38th Street,43.066666989153,-87.961625963432,Public Charter School,"2623 N 38th St, Milwaukee, WI 53210",1,
3619_0145,Milwaukee College Preparatory School -- Lloyd Street,43.058434996315,-87.927775982734,Public Charter School,"1228 W Lloyd St, Milwaukee, WI 53205",1,
3619_0121,Milwaukee College Preparatory School: Lola Rowe North Campus,43.060912016342,-87.929479017821,Public Charter School,"1350 W North Ave, Milwaukee, WI 53205",1,
3619_0118,Milwaukee Environmental Science Academy,43.088733019814,-87.994859036056,Public Charter School,"6600 W Melvina St, Milwaukee, WI 53216",1,
0000_1870,Milwaukee Lutheran High School,43.096375010487,-88.034103022904,Private School,"9700 W Grantosa Dr, Milwaukee, WI 53222",1,
8012_8128,Milwaukee Math and Science Academy,43.068462015627,-87.967967962831,Public Charter School,"2703 N Sherman Blvd, Milwaukee, WI 53210",1,
