dpi_true_id,school_name,accurate_agency_type,address,milwaukee_indicator,cfc_school,geometry
0000_2750,Saint Adalbert School,Private School,"1913 W Becher St, Milwaukee, WI 53215",1,TRUE,"c(-87.93715399, 43.00629801)"
0000_3100,Saint Anthony School,Private School,"1727 S 9th Street, Milwaukee, WI 53204",1,TRUE,"c(-87.92306401, 43.01165002)"
0000_1745,Saint Augustine Preparatory Academy,Private School,"2607 S 5th St, Milwaukee, WI 53207",1,TRUE,"c(-87.91736499, 42.99739001)"
0000_3410,Saint Catherine School,Private School,"2647 N 51st St, Milwaukee, WI 53210",1,TRUE,"c(-87.97800403, 43.06711001)"
0000_3455,Saint Charles Borromeo Catholic School,Private School,"3100 W Parnell Ave, Milwaukee, WI 53221",1,TRUE,"c(-87.95456002, 42.94263699)"
0000_4210,Saint Joan Antida High School,Private School,"1341 N Cass St, Milwaukee, WI 53202",1,TRUE,"c(-87.90297997, 43.04778101)"
0000_8224,Saint Joseph Academy,Private School,"1600 W Oklahoma Ave, Milwaukee, WI 53215",1,TRUE,"c(-87.93440397, 42.98915798)"
0000_5710,Saint Marcus Lutheran School,Private School,"2215 N Palmer St, Milwaukee, WI 53212",1,TRUE,"c(-87.91035302, 43.059515)"
0000_5720,Saint Margaret Mary School,Private School,"3950 N 92nd St, Milwaukee, WI 53222",1,TRUE,"c(-88.02608104, 43.08877899)"
0000_1948,Saint Mary Czestochowa,Private School,"3027 N Fratney St, Milwaukee, WI 53212",1,TRUE,"c(-87.901849, 43.073694)"
0000_7400,Saint Peter Immanuel Lutheran School,Private School,"7801 W Acacia St, Milwaukee, WI 53223",1,TRUE,"c(-88.00751596, 43.13680499)"
0000_1200,Saint Rafael the Archangel School,Private School,"2251 S 31st St, Milwaukee, WI 53215",1,TRUE,"c(-87.953708, 43.00377099)"
0000_7670,Saint Roman Parish School,Private School,"1810 W Bolivar Ave, Milwaukee, WI 53221",1,TRUE,"c(-87.93713002, 42.96719098)"
0000_1947,Saint Rose,Private School,"514 N 31st St, Milwaukee, WI 53208",1,TRUE,"c(-87.95220697, 43.03648899)"
0000_7980,Saint Thomas Aquinas Academy,Private School,"341 E Norwich St, Milwaukee, WI 53207",1,TRUE,"c(-87.905603, 42.97159198)"
8001_8121,Seeds of Health Elementary Program,Public Charter School,"1445 S 32nd St, Milwaukee, WI 53215",1,TRUE,"c(-87.95452699, 43.01601301)"
8001_8115,Tenor High,Public Charter School,"918 Vel R Phillips Ave, Milwaukee, WI 53203",1,TRUE,"c(-87.91561996, 43.042049)"
8003_8137,United Community Center Acosta Middle School,Public Charter School,"1038 S 6th Street, Milwaukee, WI 53204",1,TRUE,"c(-87.91800101, 43.02045701)"
8001_8124,Veritas High,Public Charter School,"3025 W Oklahoma Ave, Milwaukee, WI 53215",1,TRUE,"c(-87.95276302, 42.98819402)"
0000_8720,Wisconsin Lutheran High School,Private School,"330 N Glenview Ave, Milwaukee, WI 53213",1,TRUE,"c(-88.0170851, 43.03179465)"
